date,max_temp,min_temp
2021-08-01,28.8,15.1
2021-08-02,19.5,15.8
2021-08-03,25.3,15.6
2021-08-04,25.1,15.1
2021-08-05,25.8,12.6
2021-08-06,23.0,15.1
2021-08-07,19.6,14.0
2021-08-08,15.9,7.2
2021-08-09,15.2,4.8
2021-08-10,20.9,10.4
2021-08-11,24.5,13.2
2021-08-12,24.3,10.6
2021-08-13,25.3,10.1
2021-08-14,25.8,14.6
2022-08-01,27.7,17.3
2022-08-02,23.3,15.8
2022-08-03,22.8,12.0
2022-08-04,20.1,12.5
2022-08-05,19.5,9.4
2022-08-06,20.5,6.5
2022-08-07,22.5,10.3
2022-08-08,24.7,13.2
2022-08-09,28.2,9.9
2022-08-10,26.7,16.1
2022-08-11,25.9,14.8
2022-08-12,27.6,11.9
2022-08-13,23.5,15.7
2022-08-14,21.7,10.9
2023-08-01,24.2,13.4
2023-08-02,26.7,16.4
2023-08-03,26.7,15.2
2023-08-04,24.1,12.0
2023-08-05,18.8,11.3
2023-08-06,19.8,11.2
2023-08-07,22.6,12.0
2023-08-08,20.3,11.6
2023-08-09,20.0,11.7
2023-08-10,18.0,11.1
2023-08-11,20.7,8.9
2023-08-12,21.1,11.6
2023-08-13,24.8,7.5
2023-08-14,26.9,17.7
2024-08-01,25.8,13.4
2024-08-02,28.4,17.6
2024-08-03,27.1,16.8
2024-08-04,17.2,12.9
2024-08-05,22.8,9.4
2024-08-06,22.3,10.4
2024-08-07,15.1,9.8
2024-08-08,17.2,8.7
2024-08-09,17.5,7.3
2024-08-10,20.7,8.6
2024-08-11,19.5,11.7
2024-08-12,20.7,12.6
2024-08-13,21.3,12.0
2024-08-14,19.8,11.3
2025-08-01,20.7,12.2
2025-08-02,17.4,12.2
2025-08-03,19.3,10.8
2025-08-04,20.9,13.4
2025-08-05,19.1,11.3
2025-08-06,17.6,12.3
2025-08-07,14.1,8.7
2025-08-08,12.7,7.0
2025-08-09,18.3,8.2
2025-08-10,21.4,11.8
2025-08-11,22.7,10.6
2025-08-12,23.8,11.4
2025-08-13,23.4,12.8
2025-08-14,19.4,8.8
